Save Set Details

Server Name: all
Group Name: all
Client Name: all
Save Set Name: all
Backup Type: all
Level: all
Save Time: from earliest available to 12/4/08 4:53:46 PM

Save Set Name,Save Time,Save Set ID,Level,Duration,Save Set Size,Number of Files
/arcbk/,12/11/07 9:01:37 PM,1549699482, ,18,1072075880,33
/arcbk/,12/11/07 9:35:40 PM,1532924309, ,61,3751676556,38
/arcbk/,12/11/07 10:07:18 PM,1516149005, ,79,4823514952,40
/arcbk/,12/11/07 10:38:06 PM,1499373658, ,87,5359434816,41
/arcbk/,12/11/07 11:03:07 PM,1482597962, ,36,2143916912,35
/arcbk/,12/12/07 1:02:24 AM,1449050697, ,26,1607989248,34
/arcbk/,12/12/07 1:53:06 AM,1398722097, ,247,15541895148,60
/arcbk/,12/12/07 10:31:33 AM,1247758220, ,18,1072071184,33
/arcbk/,12/12/07 3:05:40 PM,1130334137, ,61,3751678684,38
/arcbk/,12/12/07 3:38:40 PM,1113558885, ,99,5895359376,42
/arcbk/,12/12/07 4:03:59 PM,1096783177, ,45,2679838940,36
/arcbk/,12/12/07 4:32:22 PM,1080007666, ,27,1607996272,34
/arcbk/,12/12/07 5:09:26 PM,1063232680, ,108,6431279520,43
/arcbk/,12/12/07 5:33:09 PM,1046456909, ,36,2143915792,35
/arcbk/,12/12/07 8:31:22 PM,1012913180, ,15,882403336,33
/arcbk/,12/13/07 1:02:26 AM,979375015, ,26,1607999476,34
/arcbk/,12/13/07 1:52:30 AM,929046377, ,239,15005971428,59
/arcbk/,12/13/07 11:01:36 AM,761307187, ,18,1072080388,33
/arcbk/,12/13/07 12:01:31 PM,727756345, ,18,1072079448,33
/arcbk/,12/13/07 3:31:38 PM,660660081, ,18,1072080612,33
/arcbk/,12/13/07 8:30:56 PM,560014732, ,12,625685104,33
/arcbk/,12/14/07 1:02:27 AM,526476586, ,26,1608001016,34
/arcbk/,12/14/07 1:51:43 AM,476147894, ,235,14470053524,59
/arcbk/,12/14/07 9:03:09 AM,375510438, ,35,2143916060,36
/arcbk/,12/14/07 11:31:34 AM,291633280, ,18,1072082180,34
/arcbk/,12/14/07 5:01:30 PM,157435369, ,18,1072082432,34
/arcbk/,12/14/07 9:17:26 PM,2707587880, ,14,674576488,34
/arcbk/,12/14/07 9:31:35 PM,2690811116, ,24,1072234944,35
/arcbk/,12/15/07 1:05:22 AM,2657269598, ,68,3751681312,39
/arcbk/,12/15/07 1:49:06 AM,2623717800, ,206,12862321568,56
/arcbk/,12/15/07 2:31:35 AM,2573388726, ,18,1072080024,34
/arcbk/,12/15/07 8:31:19 PM,2288240802, ,15,896746268,34
/arcbk/,12/16/07 12:42:32 AM,2271478652, ,138,8575063368,49
/arcbk/,12/16/07 1:04:38 AM,2237925521, ,59,3215749752,38
/arcbk/,12/16/07 1:51:37 AM,2204373899, ,233,14470065356,59
/arcbk/,12/16/07 2:31:38 AM,2154044677, ,18,1072085540,34
/arcbk/,12/16/07 8:31:26 PM,1852119609, ,16,943538680,34
/arcbk/,12/17/07 1:04:51 AM,1801804369, ,59,3215756328,38
/arcbk/,12/17/07 1:48:29 AM,1768252567, ,199,12326393996,55
/arcbk/,12/17/07 8:31:38 AM,1667613446, ,18,1072086940,34
/arcbk/,12/17/07 9:03:11 AM,1650838111, ,37,2143923148,36
/arcbk/,12/17/07 9:32:20 AM,1634062643, ,28,1608006720,35
/arcbk/,12/17/07 10:31:32 AM,1600511750, ,19,1072087220,34
/arcbk/,12/17/07 3:31:36 PM,1483089226, ,18,1072087444,34
/arcbk/,12/17/07 4:04:04 PM,1466313955, ,44,2679844800,37
/arcbk/,12/17/07 4:33:54 PM,1449538521, ,44,2679848012,37
/arcbk/,12/17/07 8:31:01 PM,1365666651, ,13,748126636,34
/arcbk/,12/18/07 1:02:23 AM,1332128503, ,27,1608002980,35
/arcbk/,12/18/07 1:50:56 AM,1281799774, ,222,13934157724,58
/arcbk/,12/18/07 2:46:01 AM,1231471477, ,174,10718590604,52
/arcbk/,12/18/07 3:11:08 AM,1197918583, ,121,7503092092,47
/arcbk/,12/18/07 3:33:52 AM,1181142733, ,43,2679832872,38
